timestamp,steering,speed,throttle
1745557918.1148064,-0.25,9.15,0.09
1745557918.8592448,-0.25,9.15,0.09
1745557919.6299238,-0.25,9.15,0.09
1745557920.40082,-0.25,9.15,0.09
1745557921.1364512,-0.25,9.15,0.09
1745557921.871588,-0.25,9.15,0.09
1745557922.6294386,-0.25,9.15,0.09
1745557923.4142666,-0.25,9.15,0.09
1745557924.175488,-0.25,9.15,0.09
1745557924.915309,-0.25,9.15,0.09
1745557925.6836214,-0.25,9.15,0.09
1745557926.4445941,-0.25,9.15,0.09
1745557927.2024517,-0.25,9.15,0.09
1745557927.9647782,-0.25,9.15,0.09
1745557928.7128277,-0.25,9.15,0.09
1745557929.4871027,-0.25,9.15,0.09
1745557930.4047031,-0.25,9.15,0.09
1745557931.161632,-0.25,9.15,0.09
1745557932.0004265,-0.25,9.15,0.09
1745557932.7607045,-0.25,9.15,0.09
1745557933.518726,-0.25,9.15,0.09
1745557934.3084652,-0.25,9.15,0.09
1745557935.0920587,-0.25,9.15,0.09
1745557935.8331993,-0.25,9.15,0.09
1745557936.614653,-0.25,9.15,0.09
1745557937.3524141,-0.25,9.15,0.09
1745557938.1089447,-0.25,9.15,0.09
1745557938.862159,-0.25,9.15,0.09
1745557939.650141,-0.25,9.15,0.09
1745557940.4354727,-0.25,9.15,0.09
1745557941.3120472,-0.25,9.15,0.09
1745557942.0759256,-0.25,9.15,0.09
1745557942.8414996,-0.25,9.15,0.09
1745557943.5680428,-0.25,9.15,0.09
1745557944.3268554,-0.25,9.15,0.09
1745557945.097536,-0.25,9.15,0.09
1745557945.8444707,-0.25,9.15,0.09
1745557946.617792,-0.25,9.15,0.09
1745557947.4016638,-0.25,9.15,0.09
1745557948.1476676,-0.25,9.15,0.09
1745557948.916558,-0.25,9.15,0.09
1745557949.6903794,-0.25,9.15,0.09
1745557950.5630538,-0.25,9.15,0.09
1745557951.385275,-0.25,9.15,0.09
1745557952.1543899,-0.25,9.15,0.09
1745557952.9157188,-0.25,9.15,0.09
1745557953.6577225,-0.25,9.15,0.09
1745557954.405734,-0.25,9.15,0.09
1745557955.1637704,-0.25,9.15,0.09
1745557955.906846,-0.25,9.15,0.09
1745557956.674066,-0.25,9.15,0.09
1745557957.4057033,-0.25,9.15,0.09
1745557958.1675775,-0.25,9.15,0.09
1745557958.945542,-0.25,9.15,0.09
1745557959.7018218,-0.25,9.15,0.09
1745557960.4653056,-0.25,9.15,0.09
1745557961.214582,-0.25,9.15,0.09
1745557962.0196826,-0.25,9.15,0.09
1745557962.9650204,-0.25,9.15,0.09
1745557963.7383013,-0.25,9.15,0.09
1745557964.5184026,-0.25,9.15,0.09
1745557965.3034348,-0.25,9.15,0.09
1745557966.0647447,-0.25,9.15,0.09
1745557967.4043646,-0.25,9.15,0.09
