timestamp,gradcam_latency
1754587375.4995975,0.012921
1754587375.554237,0.020947
1754587375.6188185,0.014328
1754587375.6859958,0.027761
1754587375.7528288,0.021227
1754587375.7943456,0.011529
1754587375.8553956,0.023116
1754587375.9005625,0.014926
1754587375.951616,0.016117
1754587375.9972742,0.013530
1754587376.0641315,0.016007
1754587376.104344,0.010514
1754587376.1560335,0.022706
1754587376.229728,0.029577
1754587376.2951047,0.019028
1754587376.3558915,0.018883
1754587376.4114742,0.016041
1754587376.4838133,0.024925
1754587376.5552194,0.029115
1754587376.6161625,0.018642
1754587376.7785747,0.125142
1754587376.918525,0.054471
1754587377.1059034,0.027193
1754587377.17285,0.024452
1754587377.2094462,0.012596
1754587377.2525325,0.015996
1754587377.2971308,0.014405
1754587377.338338,0.016917
1754587377.3764267,0.014527
1754587377.4144423,0.014142
1754587377.4705646,0.016553
1754587377.522703,0.020943
1754587377.5706036,0.015697
1754587377.6326637,0.017704
1754587377.6914093,0.014693
1754587377.756774,0.015259
1754587377.8148487,0.015887
1754587377.8782914,0.023445
1754587377.926642,0.013598
1754587377.9856303,0.025995
1754587378.0336676,0.013991
1754587378.0952063,0.018229
1754587378.1537905,0.014124
1754587378.203678,0.012264
1754587378.2517471,0.016244
1754587378.307472,0.020350
1754587378.3555932,0.011047
1754587378.4064174,0.018854
1754587378.457056,0.020531
1754587378.557032,0.057621
1754587378.6339233,0.019369
1754587378.6898608,0.016300
1754587378.751582,0.032279
1754587378.9489932,0.041150
1754587379.2004774,0.031337
1754587379.2746866,0.020997
1754587379.323306,0.016157
1754587379.369779,0.016217
1754587379.4252427,0.018316
1754587379.4708097,0.016820
1754587379.5089817,0.012120
1754587379.5447567,0.011671
1754587379.598917,0.025872
1754587379.666963,0.030417
1754587379.7387838,0.021053
1754587379.7904398,0.015976
1754587379.837184,0.016041
1754587379.9156837,0.015533
1754587379.9792445,0.018616
1754587380.0427828,0.023073
1754587380.100604,0.018732
1754587380.146489,0.011557
1754587380.1940384,0.014561
1754587380.2388308,0.013182
1754587380.289667,0.017171
1754587380.3366528,0.011557
1754587380.3875217,0.019137
1754587380.4447255,0.017695
1754587380.493768,0.015900
1754587380.5557373,0.013950
1754587380.6105757,0.020511
1754587380.6619892,0.024341
1754587380.7088485,0.016125
1754587380.9083219,0.080173
1754587381.136658,0.144902
1754587381.2771466,0.032802
1754587381.3484292,0.026128
1754587381.3864763,0.012109
1754587381.4263666,0.017270
1754587381.468854,0.011523
1754587381.5087242,0.014240
1754587381.5424402,0.011057
1754587381.5736933,0.011634
1754587381.6163933,0.016944
1754587381.6569328,0.010563
1754587381.6958244,0.011146
1754587381.7479362,0.018936
1754587381.788555,0.011067
1754587381.8307798,0.011491
1754587381.8703103,0.015671
1754587381.910625,0.010691
1754587381.9603415,0.017061
1754587381.9996345,0.012515
1754587382.0403583,0.011988
1754587382.0824373,0.011696
1754587382.1194823,0.011534
1754587382.1739883,0.019068
1754587382.217113,0.013585
1754587382.2619624,0.016075
1754587382.3063765,0.014464
1754587382.3503556,0.014899
1754587382.3846164,0.012145
1754587382.4259474,0.011472
1754587382.4633234,0.010533
1754587382.4977322,0.010072
1754587382.5486302,0.016424
1754587382.5869613,0.015532
1754587382.6324668,0.014603
1754587382.6825202,0.017888
1754587382.724084,0.013375
1754587382.7935183,0.020074
1754587383.0314858,0.043058
1754587383.2437906,0.043077
1754587383.310691,0.020704
1754587383.349168,0.010177
1754587383.3846087,0.013148
1754587383.441984,0.025136
1754587383.4989462,0.023230
1754587383.550362,0.016256
1754587383.5930974,0.016876
1754587383.6452556,0.014115
1754587383.6825194,0.017584
1754587383.7252173,0.013584
1754587383.795683,0.019739
1754587383.8594513,0.022217
1754587383.906378,0.011512
1754587383.9542577,0.015364
1754587383.9934788,0.009515
1754587384.0393748,0.015612
1754587384.075795,0.010157
1754587384.1164083,0.009514
1754587384.156483,0.010053
1754587384.1948547,0.010084
1754587384.2395508,0.012529
1754587384.282712,0.012246
1754587384.3253615,0.012698
1754587384.3688524,0.011050
1754587384.4145222,0.015658
1754587384.4518237,0.014229
1754587384.4905722,0.009008
1754587384.5287964,0.010523
1754587384.5776498,0.018803
1754587384.6184087,0.012751
1754587384.678416,0.019580
1754587384.737336,0.031154
1754587384.8015413,0.024975
1754587384.9319255,0.086931
1754587385.200346,0.105566
1754587385.3244452,0.028778
1754587385.4108388,0.044393
1754587385.4592035,0.016435
1754587385.5014398,0.013826
1754587385.553902,0.015586
1754587385.6051111,0.013544
1754587385.647405,0.017658
1754587385.699757,0.014259
1754587385.7595167,0.017530
1754587385.8226511,0.017807
1754587385.8766606,0.014143
1754587385.9135973,0.009514
1754587385.9492466,0.011622
1754587385.9965882,0.015850
1754587386.0337453,0.010643
1754587386.0692172,0.011401
1754587386.110466,0.011262
1754587386.1506052,0.014384
1754587386.1880994,0.010519
1754587386.2316928,0.012809
1754587386.2766244,0.013516
1754587386.3182294,0.013513
1754587386.3684037,0.018990
1754587386.429216,0.021163
1754587386.4876885,0.015245
1754587386.5587807,0.018817
1754587386.6055033,0.012517
1754587386.6505353,0.014191
1754587386.700473,0.011519
1754587386.7465918,0.016066
1754587386.7884283,0.016975
1754587386.8248355,0.010096
1754587386.8758676,0.014041
1754587386.9805694,0.052171
1754587387.2045658,0.089508
1754587387.3589268,0.039447
1754587387.472455,0.033389
1754587387.5096252,0.011318
1754587387.5445,0.011148
1754587387.581925,0.016215
1754587387.6170967,0.010516
1754587387.6538076,0.011046
1754587387.687593,0.012827
1754587387.7216487,0.011546
1754587387.764941,0.012526
1754587387.8045044,0.014106
1754587387.8455112,0.011138
1754587387.8914218,0.017518
1754587387.9307885,0.015876
1754587387.9719453,0.012974
1754587388.0157285,0.015139
1754587388.0568347,0.016065
1754587388.0979657,0.011408
1754587388.144722,0.014993
1754587388.1816401,0.011569
1754587388.2275798,0.012625
1754587388.2670689,0.010919
1754587388.3160367,0.015491
1754587388.3591092,0.013530
1754587388.4162781,0.018300
1754587388.4758956,0.020917
1754587388.5224717,0.018380
1754587388.5638626,0.011885
1754587388.610709,0.015524
1754587388.6518126,0.012115
1754587388.6926908,0.011731
1754587388.744097,0.013006
1754587388.7998693,0.015968
1754587388.835844,0.011408
1754587388.8754597,0.010513
1754587388.9148974,0.009514
1754587388.9997258,0.023220
1754587389.1883981,0.041291
1754587389.4004576,0.029222
1754587389.4650352,0.017550
1754587389.5041611,0.014504
1754587389.54748,0.016157
1754587389.5954103,0.013869
1754587389.6434011,0.016391
1754587389.6815646,0.011531
1754587389.7214265,0.014038
1754587389.7695389,0.013092
1754587389.8031645,0.009513
1754587389.8438463,0.010074
1754587389.8856444,0.014931
1754587389.9278002,0.012355
1754587389.9792907,0.018036
1754587390.0255182,0.016991
1754587390.0644853,0.010857
1754587390.1055324,0.012589
1754587390.1523914,0.015470
1754587390.1922674,0.010519
1754587390.2378118,0.015111
1754587390.2703109,0.010516
1754587390.3147218,0.014738
1754587390.3506467,0.012529
1754587390.3855958,0.010105
1754587390.4349747,0.014733
1754587390.4787388,0.015083
1754587390.5347698,0.018019
1754587390.5804594,0.012655
1754587390.6376164,0.013683
1754587390.6803188,0.017596
1754587390.7409782,0.022052
1754587390.8020315,0.016096
1754587390.8724732,0.011981
1754587390.9198692,0.012898
1754587390.9721491,0.013654
1754587391.1964433,0.160844
1754587391.371224,0.101790
1754587391.5131307,0.032536
1754587391.5881152,0.026768
1754587391.6348844,0.016320
1754587391.690505,0.016375
1754587391.7407305,0.016026
1754587391.7792335,0.014524
1754587391.8144069,0.012925
1754587391.8488848,0.012515
1754587391.895908,0.017701
1754587391.9445188,0.016342
1754587392.0028226,0.018946
1754587392.055059,0.014642
1754587392.1007347,0.016056
1754587392.142279,0.011960
1754587392.1880703,0.014168
1754587392.221617,0.011373
1754587392.2752771,0.017818
1754587392.3479142,0.024133
1754587392.4055552,0.017368
